City,PM2.5,NO,NO2,NOx,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Ahmedabad,99.73,20.16,30.23,50.39,20.16,32.74,20.91,8.58,27.22,4.15,309,Very Poor
Ahmedabad,84.15,15.83,32.1,47.93,15.83,19.37,23.12,8.34,23.83,4,519,Severe
Ahmedabad,92.12,18.21,32.5,50.71,18.21,31.75,29.97,6.26,26.4,4.3,397,Very Poor
Ahmedabad,94.02,27.14,36.97,64.11,27.14,24.88,23.51,10.85,41.2,6.14,517,Severe
Ahmedabad,150.27,15.9,34.86,50.77,15.9,26.35,31.96,9.13,37.83,5.06,653,Severe
Ahmedabad,118.91,5.42,29.22,34.64,5.42,79.47,24.89,6.23,12.93,1.74,355,Very Poor
Ahmedabad,91.41,5.19,23.45,28.63,5.19,25.44,6.25,0.69,1.25,0.05,227,Poor
Ahmedabad,95.9,10.38,33.63,44.01,10.38,30.06,27.34,3.24,11.06,1.76,316,Very Poor
Ahmedabad,137.87,20.2,32.98,53.18,20.2,21.89,17.41,12.76,39.39,12.08,536,Severe
Ahmedabad,90.71,18.12,25.73,43.85,18.12,17.89,26.02,7.32,43.71,6.04,370,Very Poor
Ahmedabad,108.68,17.03,32.87,49.9,17.03,22.59,19.56,12.47,51.84,7.46,551,Severe
Ahmedabad,98.79,17.72,31.2,48.92,17.72,26.09,30.19,8.22,41.58,5.48,393,Very Poor
Ahmedabad,145.75,20.61,34.71,55.33,20.61,24.66,95.94,20.08,51.51,7.31,671,Severe
Ahmedabad,179.43,52.33,39.42,91.75,52.33,39.15,112.01,31.75,102.65,14.97,969,Severe
Ahmedabad,170.52,15.49,35.22,48.6,15.49,34.03,53.98,10.76,31.62,4.83,471,Severe
Ahmedabad,203.4,23.03,36.63,59.66,23.03,94.3,5.36,0,0,0,529,Severe
Ahmedabad,64.66,4.79,23.83,28.61,4.79,34.4,24.76,6.24,12.04,2.24,213,Poor
Ahmedabad,78.14,10.58,28.93,39.51,10.58,44.91,35.56,4.72,8.87,2.28,297,Poor
Ahmedabad,100.17,32.27,34.16,66.43,32.27,27.73,23.95,7.62,12.85,5.15,605,Severe
Ahmedabad,147.35,34.64,39.1,73.74,34.64,46.09,26.43,5.8,5.08,10.16,691,Severe
Ahmedabad,89.64,5.42,25.75,31.18,5.42,44.92,43.04,6.48,17.42,2.14,270,Poor
Ahmedabad,51.72,1.89,21.15,23.04,1.89,37.31,66.58,3.96,11.1,0.75,188,Moderate
Ahmedabad,54.59,2.31,18.33,20.64,2.31,19.08,42.43,3.47,10.25,1.12,114,Moderate
Ahmedabad,46.5,1.22,12.1,13.32,1.22,13.73,61.56,1.9,4.5,0.22,143,Moderate
